nombre_region,cod_region,Sector,Subsector,Energético,BNE Tcal,Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt)
Región de La Araucanía,9,Industrial y Minero,Papel y Celulosa,Electricidad,417.70695188,,
Región de Los Lagos,10,Industrial y Minero,Papel y Celulosa,Electricidad,0.9031161,,
Región Metropolitana de Santiago,13,Industrial y Minero,Papel y Celulosa,Electricidad,382.55746110600006,,
Región de Los Ríos,14,Industrial y Minero,Papel y Celulosa,Electricidad,521.52097124,,
Región de Ñuble,16,Industrial y Minero,Papel y Celulosa,Electricidad,712.9680936200001,,
Región de Tarapacá,1,Industrial y Minero,Pesca,Electricidad,12.35493544,,
Región de Antofagasta,2,Industrial y Minero,Pesca,Electricidad,4.88983444,,
Región de Coquimbo,4,Industrial y Minero,Pesca,Electricidad,1.9442536,,
Región del Biobío,8,Industrial y Minero,Pesca,Electricidad,58.828208461600006,,
Región de Los Lagos,10,Industrial y Minero,Pesca,Electricidad,18.55384411584,,
Región Aisén del Gral.Carlos Ibáñez del Campo,11,Industrial y Minero,Pesca,Electricidad,6.49759289536,,
